"ID","Ortnamn","N","E","LOPNR","Namntyp_nr","Språk_nr","Sockenstad_nr","Län_nr","Kommun_nr","Kombo","Sockenstad","nr"
60574,"Lillkullen",7113024.00,630610.00,3832344.00,5,5,23,1,12,"Lillkullen_3832344_23","Åsele",23
60575,"Lill-Lavsjön",7122722.00,649128.00,3832571.00,8,5,8,1,12,"Lill-Lavsjön_3832571_8","Fredrika",8
60576,"Lill-Lomsjön",7107492.00,598466.00,3832616.00,8,5,23,1,12,"Lill-Lomsjön_3832616_23","Åsele",23
60577,"Lill-Lövberget",7119700.00,623489.00,3832703.00,5,5,23,1,12,"Lill-Lövberget_3832703_23","Åsele",23
60578,"Lill-Mormorsmyran",7104715.00,649237.00,3832810.00,4,5,8,1,12,"Lill-Mormorsmyran_3832810_8","Fredrika",8
60579,"Lillmyran",7126354.00,588188.00,3833033.00,4,5,23,1,12,"Lillmyran_3833033_23","Åsele",23
60580,"Lillmyrbrännan",7127658.00,584779.00,3833146.00,5,5,23,1,12,"Lillmyrbrännan_3833146_23","Åsele",23
60581,"Lill-Norsjöberget",7122919.00,636656.00,3833327.00,5,5,23,1,12,"Lill-Norsjöberget_3833327_23","Åsele",23
60582,"Lill-Nävertjärnen",7110828.00,628301.00,3833412.00,8,5,23,1,12,"Lill-Nävertjärnen_3833412_23","Åsele",23
60583,"Lill-Oxkullen",7140808.00,603067.00,3833481.00,5,5,23,1,12,"Lill-Oxkullen_3833481_23","Åsele",23
60584,"Lill-Renberget",7146532.00,617161.00,3833606.00,5,5,23,1,12,"Lill-Renberget_3833606_23","Åsele",23
60585,"Lill-Renbergmyran",7146879.00,618046.00,3833608.00,4,5,23,1,12,"Lill-Renbergmyran_3833608_23","Åsele",23
60586,"Lill-Rålinsberget",7092149.00,639710.00,3833735.00,5,5,23,1,12,"Lill-Rålinsberget_3833735_23","Åsele",23
60587,"Lill-Rörmyran",7105668.00,646996.00,3833866.00,4,5,8,1,12,"Lill-Rörmyran_3833866_8","Fredrika",8
60588,"Lill-Rötjärnen",7117913.00,634454.00,3833899.00,8,5,23,1,12,"Lill-Rötjärnen_3833899_23","Åsele",23
60589,"Lillsjökullen",7113404.00,589255.00,3834157.00,5,5,23,1,12,"Lillsjökullen_3834157_23","Åsele",23
60590,"Lillsjömyran",7113397.00,588786.00,3834184.00,4,5,23,1,12,"Lillsjömyran_3834184_23","Åsele",23
60591,"Lillsjön",7112967.00,589508.00,3834575.00,8,5,23,1,12,"Lillsjön_3834575_23","Åsele",23
60592,"Lillsjön",7119857.00,618293.00,3834576.00,8,5,23,1,12,"Lillsjön_3834576_23","Åsele",23
60593,"Lillsjön",7130132.00,639649.00,3834577.00,8,5,23,1,12,"Lillsjön_3834577_23","Åsele",23
60594,"Lillsjön",7132407.00,652235.00,3834578.00,8,5,8,1,12,"Lillsjön_3834578_8","Fredrika",8
60595,"Lillsjönäs",7119340.00,619779.00,3834592.00,1,5,23,1,12,"Lillsjönäs_3834592_23","Åsele",23
60596,"Lillsjötjärnen",7119541.00,618218.00,3834607.00,8,5,23,1,12,"Lillsjötjärnen_3834607_23","Åsele",23
60597,"Lill-Skarpan",7106896.00,645404.00,3834640.00,4,5,8,1,12,"Lill-Skarpan_3834640_8","Fredrika",8
60598,"Lill-Skarpsjöberget",7137186.00,617804.00,3834645.00,5,5,23,1,12,"Lill-Skarpsjöberget_3834645_23","Åsele",23
60599,"Lill-Skarpsjömyran",7136557.00,615809.00,3834646.00,4,5,23,1,12,"Lill-Skarpsjömyran_3834646_23","Åsele",23
60600,"Lill-Skarpsjön",7138407.00,614711.00,3834647.00,8,5,23,1,12,"Lill-Skarpsjön_3834647_23","Åsele",23
60601,"Lill-Spirberget",7122685.00,603176.00,3834923.00,5,5,23,1,12,"Lill-Spirberget_3834923_23","Åsele",23
60602,"Lill-Spåtjärnen",7097470.00,632289.00,3834936.00,8,5,23,1,12,"Lill-Spåtjärnen_3834936_23","Åsele",23
60603,"Lill-Stamsjön",7130248.00,586601.00,3834952.00,8,5,23,1,12,"Lill-Stamsjön_3834952_23","Åsele",23
60604,"Lill-Stensjön",7121263.00,616421.00,3835002.00,8,5,23,1,12,"Lill-Stensjön_3835002_23","Åsele",23
60605,"Lill-Stentjärnen",7122659.00,585292.00,3835013.00,8,5,23,1,12,"Lill-Stentjärnen_3835013_23","Åsele",23
60606,"Lill-Stentjärnen",7141322.00,642443.00,3835014.00,8,5,23,1,12,"Lill-Stentjärnen_3835014_23","Åsele",23
